X	Y
0.361	0.830
0.307	0.851
0.284	0.826
0.255	0.806
0.296	0.820
0.340	0.820
0.333	0.878
0.332	0.837
0.313	0.828
0.352	0.765
0.356	0.804
0.343	0.791
0.358	0.842
0.343	0.780
0.356	0.790
0.313	0.775
0.375	0.822
0.325	0.841
0.349	0.849
0.409	0.768
0.360	0.775
0.348	0.865
0.295	0.765
0.393	0.778
0.424	0.847
0.411	0.863
0.375	0.801
0.376	0.736
0.327	0.798
0.408	0.835
0.387	0.764
0.382	0.714
0.406	0.782
0.376	0.736
0.434	0.737
0.380	0.755
0.362	0.792
0.425	0.740
0.374	0.788
0.416	0.733
0.379	0.740
0.429	0.785
0.427	0.743
0.342	0.803
0.395	0.755
0.456	0.796
0.331	0.669
0.408	0.687
0.373	0.627
0.430	0.696
0.403	0.630
0.387	0.711
0.356	0.714
0.433	0.747
0.414	0.726
0.484	0.672
0.438	0.692
0.376	0.656
0.446	0.686
0.408	0.687
0.428	0.691
0.361	0.702
0.404	0.623
0.396	0.601
0.387	0.670
0.389	0.532
0.399	0.585
0.437	0.619
0.414	0.623
0.435	0.713
0.461	0.631
0.437	0.587
0.397	0.637
0.432	0.640
0.426	0.555
0.432	0.554
0.420	0.603
0.451	0.576
0.430	0.595
0.447	0.537
0.465	0.553
0.404	0.508
0.453	0.540
0.491	0.549
0.475	0.524
0.436	0.510
0.499	0.556
0.428	0.524
0.442	0.530
0.582	0.542
0.503	0.545
0.499	0.559
0.450	0.521
0.506	0.503
0.460	0.569
0.489	0.455
0.520	0.491
0.504	0.461
0.561	0.466
0.495	0.455
0.474	0.538
0.478	0.521
0.477	0.510
0.482	0.513
0.514	0.528
0.509	0.460
0.520	0.500
0.499	0.517
0.553	0.496
0.494	0.512
0.524	0.507
0.556	0.499
0.563	0.458
0.513	0.459
0.565	0.456
0.517	0.519
0.528	0.456
0.544	0.470
0.581	0.486
0.551	0.455
0.533	0.460
0.553	0.514
0.499	0.483
0.557	0.475
0.542	0.474
0.517	0.520
0.485	0.440
0.586	0.427
0.570	0.442
0.506	0.425
0.532	0.471
0.567	0.513
0.541	0.474
0.564	0.480
0.524	0.463
0.578	0.511
0.496	0.401
0.523	0.468
0.596	0.486
0.621	0.375
0.578	0.460
0.522	0.404
0.584	0.504
0.612	0.484
0.579	0.496
0.587	0.536
0.587	0.506
0.579	0.515
0.642	0.527
0.598	0.423
0.565	0.533
0.585	0.452
0.621	0.522
0.601	0.467
0.594	0.494
0.624	0.515
0.621	0.496
0.607	0.513
0.576	0.524
0.675	0.550
0.693	0.525
0.687	0.508
0.671	0.512
0.636	0.492
0.597	0.533
0.662	0.551
0.670	0.465
0.700	0.532
0.723	0.570
0.703	0.522
0.696	0.547
0.633	0.518
0.636	0.557
0.706	0.534
0.644	0.552
0.770	0.597
0.770	0.534
0.803	0.585
0.732	0.602
0.773	0.566
0.745	0.590
0.742	0.509
0.777	0.574
0.785	0.619
0.759	0.643
0.747	0.641
0.758	0.650
0.814	0.655
0.772	0.682
0.743	0.634
0.776	0.646
0.745	0.668
0.652	0.638
0.771	0.676
0.762	0.682
0.744	0.724
0.694	0.641
0.699	0.689
0.764	0.689
0.746	0.711
0.768	0.684
0.764	0.637
0.840	0.617
0.817	0.635
0.712	0.691
0.736	0.648
0.766	0.741
0.763	0.724
0.758	0.702
0.705	0.714
0.802	0.748
0.743	0.765
0.738	0.729
0.669	0.675
0.792	0.711
0.748	0.753
0.801	0.738
0.746	0.719
0.829	0.774
0.808	0.771
0.793	0.714
0.808	0.731
0.798	0.683
0.838	0.701
0.910	0.697
0.807	0.759
0.818	0.738
0.827	0.750
0.801	0.729
0.851	0.809
0.839	0.769
0.825	0.791
0.879	0.760
0.818	0.784
0.892	0.832
0.864	0.869
0.910	0.830
0.834	0.760
0.829	0.794
0.938	0.837
0.934	0.801
0.870	0.801
0.911	0.814
0.887	0.820
0.798	0.726
0.941	0.780
0.846	0.839
0.952	0.860
0.887	0.878
0.950	0.764
0.874	0.863
0.934	0.855
0.996	0.853
0.985	0.850
0.926	0.820
0.920	0.854
1.007	0.830
0.971	0.814
0.912	0.828
0.967	0.908
0.980	0.809
0.973	0.800
1.028	0.779
1.010	0.832
0.970	0.873
0.958	0.858
0.945	0.832
0.941	0.799
0.967	0.841
1.011	0.872
0.944	0.858
1.045	0.809
0.989	0.846
0.941	0.907
0.942	0.811
0.986	0.834
0.991	0.827
1.031	0.818
0.991	0.786
0.998	0.864
1.025	0.865
1.042	0.852
0.980	0.839
1.030	0.872
1.016	0.847
1.035	0.803
0.983	0.866
1.073	0.794
1.015	0.884
0.990	0.858
0.952	0.834
1.008	0.869
0.989	0.854
0.985	0.845
1.050	0.864
