X	Y
0.697	0.639
0.716	0.604
0.788	0.595
0.753	0.613
0.744	0.592
0.780	0.604
0.766	0.623
0.788	0.651
0.732	0.638
0.780	0.720
0.792	0.685
0.828	0.718
0.778	0.658
0.804	0.726
0.782	0.705
0.827	0.719
0.819	0.746
0.801	0.770
0.835	0.744
0.775	0.736
0.812	0.744
0.821	0.784
0.830	0.788
0.850	0.729
0.861	0.785
0.877	0.790
0.874	0.810
0.845	0.800
0.893	0.784
0.880	0.856
0.873	0.877
0.879	0.887
0.895	0.858
0.895	0.898
0.902	0.894
0.918	0.866
0.917	0.901
0.930	0.876
0.907	0.896
0.944	0.925
0.943	0.907
0.965	0.963
0.939	0.883
0.948	0.918
0.902	0.898
0.922	0.935
0.944	0.915
0.942	0.913
0.956	0.929
0.979	0.947
0.977	0.949
0.971	0.972
0.985	0.968
0.998	0.903
1.028	0.978
0.988	0.936
1.005	0.952
1.009	0.965
1.007	0.969
1.019	0.938
1.041	0.925
1.001	0.996
1.063	0.989
0.997	1.022
1.050	0.994
1.003	1.011
1.026	0.971
1.011	0.982
1.031	1.001
1.027	0.985
1.006	0.992
1.010	0.964
1.012	0.989
1.002	1.059
0.997	0.994
0.997	1.028
0.975	1.029
0.994	1.044
0.953	1.013
1.040	0.994
1.015	1.016
